id,_original_order,center_x_5186,center_y_5186
875751,29676,348276.0000000005,269683.0000000004
875752,29677,348276.0000000001,269183.0000000003
875776,29680,348276.0000000001,257183.00000000023
876962,29841,348776.00000000093,275183.00000000064
876982,29842,348776.00000000047,265183.0
876984,29843,348776.00000000093,264183.0000000001
878184,29985,349276.0000000014,275183.00000000064
878194,29986,349276.00000000023,270182.9999999998
878195,29987,349276.0000000001,269683.00000000006
878203,29988,349276.0000000002,265683.0000000001
878204,29989,349276.0000000003,265183.0
878205,29990,349276.0000000009,264683.0000000006
878259,30002,349276.0000000007,237682.99999999977
879415,30133,349776.00000000023,270683.0000000003
879417,30134,349776.00000000006,269683.00000000006
879428,30135,349776.00000000093,264183.0000000001
879482,30144,349775.99999999994,237183.00000000038
880637,30269,350276.0000000008,270683.00000000064
880647,30271,350275.99999999994,265682.9999999994
880649,30272,350276.00000000047,264683.0000000006
880692,30277,350275.9999999996,243182.9999999997
880693,30278,350276.00000000035,242682.9999999996
880706,30281,350276.0000000008,236182.99999999977
881859,30399,350776.0000000004,270683.0000000003
881868,30401,350775.99999999936,266182.99999999953
881918,30406,350776.0000000002,241183.0000000003
881923,30410,350775.9999999993,238683.0
883145,30530,351276.00000000023,238683.0
884308,30641,351776.0000000002,268183.0
885524,30746,352275.9999999997,271183.00000000006
885527,30747,352275.9999999993,269683.0000000004
885530,30749,352276.0000000004,268183.0000000004
885588,30754,352275.99999999953,239182.99999999977
886743,30865,352776.00000000035,272683.0000000004
886745,30866,352776.0000000005,271682.9999999998
886746,30867,352776.0,271182.9999999993
886751,30871,352775.99999999994,268683.0000000002
886794,30876,352776.0000000001,247183.0000000003
886795,30877,352775.99999999977,246683.00000000052
886797,30878,352776.00000000116,245682.9999999996
886808,30879,352776.0000000007,240183.0000000004
887966,31002,353276.00000000064,272182.99999999994
887973,31003,353275.99999999994,268682.99999999977
887976,31004,353276.0000000005,267182.99999999977
888021,31012,353276.0000000007,244683.0000000004
889238,31155,353775.99999999977,247182.99999999994
889253,31156,353775.9999999996,239683.00000000026
890409,31269,354276.00000000023,272683.00000000006
890460,31276,354275.99999999977,247182.99999999994
891641,31406,354775.99999999994,267683.00000000023
891644,31407,354776.00000000035,266182.9999999999
891683,31411,354776.0000000006,246683.00000000017
892853,31525,355276.00000000035,272683.00000000076
892862,31528,355275.9999999997,268183.0
892863,31529,355275.9999999994,267683.00000000023
892864,31530,355276.0,267183.0000000009
892865,31531,355276.0000000008,266683.00000000035
894076,31645,355775.99999999977,272182.99999999994
894082,31647,355776.0,269182.99999999994
894083,31648,355776.0,268682.99999999977
894126,31652,355776.0000000001,247183.0000000003
895298,31745,356275.9999999997,272182.99999999994
895313,31747,356275.99999999977,264682.9999999999
895348,31752,356276.0000000003,247183.0000000003
896519,31850,356776.0,272683.00000000006
896526,31851,356775.9999999999,269182.99999999994
896535,31852,356775.9999999999,264682.9999999999
896548,31856,356776.0000000008,258183.00000000047
896572,31860,356776.0000000001,246182.9999999997
896574,31862,356776.00000000105,245182.99999999983
897746,31953,357276.000000001,270183.0000000002
897757,31954,357276.00000000023,264683.00000000023
897760,31955,357276.0000000002,263183.00000000023
897763,31957,357276.0000000008,261683.00000000023
897766,31958,357276.00000000047,260182.99999999988
897767,31959,357276.00000000023,259682.99999999977
897783,31963,357276.0000000001,251682.99999999994
898978,32056,357775.9999999994,265183.00000000035
898979,32057,357776.0,264683.00000000023
898996,32059,357776.00000000035,256183.00000000035
900172,32152,358276.00000000047,279182.9999999998
900189,32153,358275.9999999994,270682.99999999994
901412,32258,358776.00000000035,270183.0000000002
901440,32259,358776.00000000035,256183.00000000035
902662,32360,359275.99999999977,256183.00000000032
902665,32363,359276.00000000116,254683.0
906280,32650,360776.0000000008,280183.00000000006
977166,37015,389776.00000000116,275183.0000000003
993030,37957,396276.00000000035,286182.99999999977
1010123,38726,403276.0000000008,293683.00000000047
1011345,38769,403776.0,293683.0000000008
1012563,38812,404275.99999999953,295682.99999999953
1012565,38814,404276.0000000009,294683.00000000035
1014999,38887,405276.0000000001,299683.0000000002
1016213,38921,405776.00000000047,303683.00000000006
1040485,39682,415776.0,387683.0000000004
1041707,39699,416275.99999999936,387683.0000000004
1044149,39754,417276.0000000006,388683.0000000003
1045262,39786,417776.0,443182.99999999994
1045263,39787,417776.0000000009,442682.9999999998
1045368,39795,417776.0000000004,390183.0000000003
1046485,39816,418276.0000000016,442682.9999999998
1047713,39841,418776.0000000007,439682.9999999995
1053942,39926,421275.99999999965,380183.00000000006
1064988,40056,425776.0000000001,356183.00000000064
1066205,40065,426275.99999999977,358683.0000000002
1066206,40066,426275.99999999965,358183.0000000004
1071068,40090,428275.99999999977,371183.0
1071075,40091,428276.0000000015,367683.0000000006
1071081,40092,428276.00000000105,364683.0000000002
1072293,40098,428775.9999999999,369683.00000000035
1075941,40112,430276.0000000006,378682.9999999997
1075944,40113,430276.0000000008,377183.0000000004
1082039,40126,432776.0000000008,384683.00000000006
